"state","abbreviation","region","zip","latitude","longitude"
"Massachusetts","MA","Northeast","01756",42.09387,-71.544519
"Massachusetts","MA","Northeast","01757",42.158692,-71.521419
"Massachusetts","MA","Northeast","01760",42.284822,-71.348811
"Massachusetts","MA","Northeast","01770",42.231947,-71.372963
"Massachusetts","MA","Northeast","01772",42.302877,-71.530828
"Massachusetts","MA","Northeast","01773",42.425506,-71.310812
"Massachusetts","MA","Northeast","01775",42.429688,-71.512514
"Massachusetts","MA","Northeast","01776",42.383367,-71.42107
"Massachusetts","MA","Northeast","01778",42.343687,-71.381186
"Massachusetts","MA","Northeast","01801",42.488769,-71.154438
"Massachusetts","MA","Northeast","01803",42.503227,-71.201713
"Massachusetts","MA","Northeast","01810",42.648044,-71.161751
"Massachusetts","MA","Northeast","01821",42.54933,-71.251725
"Massachusetts","MA","Northeast","01824",42.59079,-71.355182
"Massachusetts","MA","Northeast","01826",42.679723,-71.30068
"Massachusetts","MA","Northeast","01827",42.676149,-71.499772
"Massachusetts","MA","Northeast","01830",42.796313,-71.053436
"Massachusetts","MA","Northeast","01832",42.791114,-71.132859
"Massachusetts","MA","Northeast","01833",42.727879,-70.982036
"Massachusetts","MA","Northeast","01834",42.7539,-71.015935
"Massachusetts","MA","Northeast","01835",42.751233,-71.0943
"Massachusetts","MA","Northeast","01840",42.706763,-71.160403
"Massachusetts","MA","Northeast","01841",42.712015,-71.164873
"Massachusetts","MA","Northeast","01843",42.689974,-71.160383
"Massachusetts","MA","Northeast","01844",42.742468,-71.179218
"Massachusetts","MA","Northeast","01845",42.673909,-71.091334
"Massachusetts","MA","Northeast","01850",42.656045,-71.303309
"Massachusetts","MA","Northeast","01851",42.627812,-71.33533
"Massachusetts","MA","Northeast","01852",42.631912,-71.296025
"Massachusetts","MA","Northeast","01854",42.649481,-71.348229
"Massachusetts","MA","Northeast","01860",42.838603,-71.011997
"Massachusetts","MA","Northeast","01862",42.578543,-71.295592
"Massachusetts","MA","Northeast","01863",42.63378,-71.38947
"Massachusetts","MA","Northeast","01864",42.578222,-71.084398
"Massachusetts","MA","Northeast","01867",42.535183,-71.105423
"Massachusetts","MA","Northeast","01876",42.611801,-71.227571
"Massachusetts","MA","Northeast","01879",42.667762,-71.42882
"Massachusetts","MA","Northeast","01880",42.501524,-71.067489
"Massachusetts","MA","Northeast","01886",42.585541,-71.44025
"Massachusetts","MA","Northeast","01887",42.564647,-71.164516
"Massachusetts","MA","Northeast","01890",42.452752,-71.144319
"Massachusetts","MA","Northeast","01901",42.460419,-70.946379
"Massachusetts","MA","Northeast","01902",42.471039,-70.941535
"Massachusetts","MA","Northeast","01904",42.492456,-70.97393
"Massachusetts","MA","Northeast","01905",42.465998,-70.975792
