"name","gender","count"
"marci","F",13417
"tamera","F",13415
"addyson","F",13407
"kiersten","F",13407
"haleigh","F",13373
"terra","F",13363
"lilliana","F",13355
"sallie","F",13338
"deanne","F",13322
"kaelyn","F",13322
"tierra","F",13320
"catalina","F",13314
"carina","F",13309
"kaydence","F",13300
"karyn","F",13283
"gay","F",13267
"camilla","F",13256
"ainsley","F",13255
"chelsie","F",13242
"lesly","F",13188
"tamra","F",13183
"jaqueline","F",13179
"charmaine","F",13172
"adrian","F",13169
"marta","F",13169
"erma","F",13165
"ayanna","F",13161
"jaden","F",13158
"adalyn","F",13102
"rosanne","F",13087
"rhiannon","F",13070
"wendi","F",13046
"charlie","F",13041
"kourtney","F",13014
"madisyn","F",13004
"bria","F",12978
"sheree","F",12956
"lyric","F",12955
"londyn","F",12954
"stephany","F",12939
"eugenia","F",12884
"carlie","F",12867
"krystle","F",12843
"corina","F",12827
"tammi","F",12771
"fernanda","F",12764
"kaila","F",12764
"reba","F",12716
"halle","F",12707
"rae","F",12674
"susanna","F",12664
"elisha","F",12647
"kaley","F",12633
"estrella","F",12622
"blair","F",12613
"kris","F",12592
"tess","F",12588
"rosetta","F",12565
"liana","F",12547
"kinley","F",12546
"esperanza","F",12494
"samara","F",12464
"janell","F",12451
"anika","F",12422
"dayna","F",12419
"graciela","F",12415
"tameka","F",12410
"martina","F",12402
"robbie","F",12377
"tyra","F",12347
"mamie","F",12341
"reyna","F",12340
"cari","F",12328
"nataly","F",12303
"inez","F",12298
"gia","F",12277
"lakisha","F",12258
"lakeisha","F",12246
"yadira","F",12236
"rosalinda","F",12231
"leeann","F",12219
"deena","F",12218
"mari","F",12183
"tianna","F",12143
"renae","F",12128
"lilian","F",12126
"celina","F",12125
"desirae","F",12122
"isla","F",12115
"kailyn","F",12098
"melba","F",12080
"roseann","F",12055
"myrtle","F",12017
"aspen","F",11990
"mckayla","F",11960
"janessa","F",11915
"bailee","F",11876
"madyson","F",11876
"bridgett","F",11807
"jayme","F",11804
"trista","F",11725
"parker","F",11720
"kristal","F",11719
"caryn","F",11698
"aleah","F",11678
"brittani","F",11666
"lexie","F",11652
"maricela","F",11632
"arabella","F",11630
"rocio","F",11626
"jena","F",11613
"magdalena","F",11593
"anissa","F",11567
"bette","F",11563
"jaelyn","F",11549
"cathryn","F",11529
"bettie","F",11481
"madelynn","F",11466
"yasmine","F",11382
"adrianne","F",11375
"carey","F",11362
"lourdes","F",11312
"jadyn","F",11300
"maia","F",11278
"shaina","F",11266
"adalynn","F",11265
"melany","F",11264
"micaela","F",11219
"tamia","F",11216
"henrietta","F",11208
"rebeca","F",11201
"ciera","F",11173
"diann","F",11157
"lesa","F",11144
"carlene","F",11131
"lela","F",11121
"angeline","F",11102
"libby","F",11098
"aubrie","F",11095
"james","F",11086
"ashanti","F",11035
"moriah","F",11007
"octavia","F",11004
"breana","F",10998
"jazlyn","F",10987
"mabel","F",10981
"abbigail","F",10980
"hunter","F",10966
"christin","F",10955
"keely","F",10926
"lawanda","F",10914
"alena","F",10910
"lauri","F",10903
"annabella","F",10900
"lizette","F",10880
"micah","F",10876
"adelaide","F",10874
"alecia","F",10854
"willa","F",10842
"amira","F",10832
"amari","F",10827
"karlee","F",10800
"tayler","F",10794
"maranda","F",10776
"adelyn","F",10772
"kaye","F",10761
"janel","F",10754
"princess","F",10731
"noel","F",10710
"miley","F",10705
"cori","F",10697
"katina","F",10690
"joelle","F",10672
"christen","F",10652
"addie","F",10637
"ruthie","F",10625
"millie","F",10592
"john","F",10589
"georgina","F",10575
"maryanne","F",10567
"haven","F",10566
"mariam","F",10556
"thalia","F",10548
"chaya","F",10547
"mitzi","F",10530
"elle","F",10504
"kacie","F",10501
"juana","F",10489
"kathrine","F",10453
"bettye","F",10439
"benita","F",10422
"roslyn","F",10407
"felicity","F",10401
"robert","F",10379
"ashly","F",10363
"gayla","F",10315
"nelda","F",10296
"marianna","F",10294
"cayla","F",10262
"loren","F",10251
"dara","F",10231
"coleen","F",10228
"corrine","F",10227
"kori","F",10213
"ilene","F",10201
"francis","F",10171
"jolie","F",10171
"isis","F",10168
"sharlene","F",10145
"lina","F",10119
"elvira","F",10117
"danette","F",10107
"dayana","F",10101
"damaris","F",10089
"marlee","F",10088
"kaylyn","F",10083
"giovanna","F",10062
"america","F",10052
"kathi","F",10032
"gena","F",10001
"anaya","F",9989
"marquita","F",9976
"catrina","F",9955
"kaylynn","F",9947
"tatyana","F",9946
"jerry","F",9945
"liberty","F",9927
"nikita","F",9915
"lorelei","F",9913
"demetria","F",9911
"lilah","F",9898
"ashlie","F",9885
"carlee","F",9878
"karly","F",9872
"shantel","F",9842
"jesse","F",9839
"nola","F",9800
"gemma","F",9796
"dylan","F",9794
"journey","F",9785
"skyla","F",9775
"mandi","F",9736
"jimena","F",9705
